,year,selling_price,km_driven,mileage,engine,max_power,fuel_Petrol,seller_type_Individual,transmission_Manual,owner_Second Owner,owner_Third and above owners,seat_category_more than 5
0,2014,450000,145500,23.4,1248.0,74.0,False,True,True,False,False,False
1,2014,370000,120000,21.14,1498.0,103.52,False,True,True,True,False,False
2,2006,158000,140000,17.7,1497.0,78.0,True,True,True,False,True,False
3,2010,225000,127000,23.0,1396.0,90.0,False,True,True,False,False,False
4,2007,130000,120000,16.1,1298.0,88.2,True,True,True,False,False,False
5,2017,440000,45000,20.14,1197.0,81.86,True,True,True,False,False,False
7,2001,45000,5000,16.1,796.0,37.0,True,True,True,True,False,False
8,2011,350000,90000,23.59,1364.0,67.1,False,True,True,False,False,False
9,2013,200000,169000,20.0,1399.0,68.1,False,True,True,False,False,False
10,2014,500000,68000,19.01,1461.0,108.45,False,True,True,True,False,False
11,2005,92000,100000,17.3,993.0,60.0,True,True,True,True,False,False
12,2009,280000,140000,19.3,1248.0,73.9,False,True,True,True,False,False
14,2009,180000,90000,18.9,1061.0,67.0,True,True,True,True,False,False
15,2016,400000,40000,18.15,1198.0,82.0,True,True,True,False,False,False
16,2016,778000,70000,24.52,1248.0,88.5,False,True,True,True,False,True
17,2012,500000,53000,23.0,1396.0,90.0,False,True,True,True,False,False
18,2002,150000,80000,19.7,796.0,46.3,True,True,True,True,False,False
19,2016,680000,100000,22.54,1396.0,88.73,False,True,True,False,False,False
20,2011,174000,100000,21.0,1461.0,64.1,False,True,True,True,False,False
21,2017,950000,50000,25.5,1498.0,98.6,False,True,True,False,False,False
22,2015,525000,40000,26.59,1248.0,74.0,False,True,True,False,False,False
23,2012,600000,72000,21.5,1248.0,88.8,False,True,True,False,False,False
24,2018,500000,35000,20.3,1199.0,83.81,True,True,True,False,False,False
25,2016,575000,45000,21.4,1197.0,83.1,True,True,True,False,False,False
26,2017,275000,28000,24.7,796.0,47.3,True,True,True,False,False,False
27,2013,300000,70000,18.2,1248.0,73.8,False,True,True,False,False,True
28,2009,220000,120000,18.9,1061.0,67.0,True,True,True,False,False,False
29,2018,254999,25000,16.8,796.0,34.2,True,True,True,False,False,True
30,2017,670000,70000,24.3,1248.0,88.5,False,True,True,False,False,False
32,2012,150000,35000,14.0,796.0,35.0,True,True,True,True,False,False
33,2018,730000,2388,18.6,1197.0,81.83,True,True,True,False,False,False
34,2017,650000,16200,24.3,1248.0,88.5,False,True,True,False,False,False
36,2019,366000,15000,23.95,998.0,67.1,True,True,True,False,False,False
37,2019,1149000,5000,17.0,1591.0,121.3,True,True,True,False,False,False
38,2016,150000,42000,20.63,1198.0,67.0,True,True,True,False,False,False
39,2011,425000,60000,13.93,2179.0,138.03,False,True,True,True,False,True
40,2012,150000,76000,16.1,796.0,37.0,True,True,True,False,False,False
42,2018,925000,28900,17.8,1497.0,117.3,True,False,True,False,False,False
43,2013,425000,86300,16.8,1497.0,116.3,True,False,True,False,False,False
44,2018,675000,23300,18.5,1197.0,83.14,True,False,False,False,False,False
45,2018,819999,32600,24.3,1248.0,88.5,False,False,True,False,False,False
46,2018,390000,10300,23.95,998.0,67.05,True,False,True,False,False,False
48,2013,700000,99000,12.99,2494.0,100.0,False,False,True,False,False,True
50,2015,425000,49800,24.7,1498.0,98.63,False,False,True,False,False,False
51,2013,1090000,151000,13.5,2477.0,175.56,False,False,True,False,False,True
52,2015,600000,54700,26.0,1498.0,98.6,False,False,True,False,False,False
53,2018,850000,64000,20.65,1462.0,103.25,True,False,True,False,False,False
54,2015,525000,63000,27.3,1498.0,98.6,False,False,True,False,False,False
56,2016,950000,99000,12.99,2494.0,100.6,False,False,True,False,False,True
61,2011,265000,120000,21.12,1248.0,88.8,False,True,True,False,False,False
62,2011,190000,110000,20.36,1197.0,78.9,True,True,True,False,True,False
63,2013,425000,60000,21.27,1396.0,88.76,False,True,True,False,False,False
64,2015,630000,147000,26.59,1248.0,74.0,False,True,True,True,False,False
65,2017,600000,25000,18.16,1196.0,86.8,True,True,True,False,True,False
66,2019,650000,30000,21.4,1197.0,83.1,True,True,True,False,False,False
67,2016,540000,40000,22.0,1498.0,108.495,False,True,True,False,False,False
68,2015,630000,135000,25.1,1498.0,98.6,False,True,True,False,False,False
69,2018,448000,30000,20.51,998.0,67.0,True,True,False,False,False,False
70,2017,500000,80000,21.66,1498.0,108.62,False,True,True,False,False,False
71,2016,745000,70000,24.3,1248.0,88.5,False,True,True,False,False,False
72,2019,1025000,9850,24.3,1248.0,88.5,False,True,False,False,False,False
73,2011,235000,60000,20.36,1197.0,78.9,True,True,True,True,False,False
74,2016,630000,70000,25.2,1248.0,74.0,False,True,True,False,False,False
76,2013,450000,120000,22.9,1248.0,74.0,False,True,True,True,False,False
77,2012,450000,120000,16.02,1373.0,93.7,True,True,True,True,False,True
79,2013,450000,170000,20.54,1598.0,103.6,False,True,True,False,False,False
80,2016,1200000,140000,12.99,2494.0,100.6,False,True,True,False,False,True
81,2015,610000,90000,22.77,1498.0,98.59,False,True,True,False,False,False
83,2017,484999,10000,23.1,998.0,67.04,True,False,True,False,False,False
84,2016,275000,49000,19.02,1198.0,67.05,True,False,True,False,False,False
85,2016,315000,32000,24.7,796.0,47.3,True,False,True,False,False,False
86,2016,275000,38000,24.7,796.0,47.3,True,False,True,False,False,False
88,2012,290000,28000,19.81,1086.0,68.05,True,False,True,False,False,False
89,2017,280000,32000,14.0,796.0,35.0,True,False,True,False,False,False
91,2015,455000,42000,16.47,1198.0,74.0,True,False,True,False,False,False
92,2015,351000,45000,19.81,1086.0,68.05,True,False,True,True,False,False
93,2012,535000,12000,15.04,1598.0,103.6,True,False,True,True,False,False
94,2009,175000,55500,18.2,998.0,67.1,True,False,True,False,False,False
95,2013,525000,61500,18.5,1197.0,82.85,True,False,True,False,False,False
96,2016,600000,150000,26.59,1248.0,74.0,False,True,True,False,False,False
97,2016,565000,72000,19.1,1197.0,82.0,True,False,False,False,False,False
98,2008,120000,68000,19.7,796.0,46.3,True,False,True,False,True,False
99,2017,725000,110000,22.54,1396.0,88.73,False,True,True,False,False,False
100,2009,185000,77000,21.79,998.0,67.05,True,False,True,True,False,False
101,2010,200000,100000,18.8,1248.0,90.0,False,True,True,True,False,False
102,2019,615000,10000,21.21,1197.0,81.8,True,True,True,False,False,False
103,2016,270000,100000,15.37,1196.0,73.0,True,True,True,False,True,True
104,2018,610000,35000,21.4,1197.0,83.1,True,True,True,False,False,False
105,2014,625000,70000,11.79,2179.0,120.0,False,True,False,True,False,True
106,2020,400000,5000,19.0,1194.0,94.68,True,True,True,True,False,False
