,year,selling_price,km_driven,mileage_kmpl,engine_CC,max_power_bhp,fuel_Petrol,seller_type_Individual,transmission_Manual,owner_Second Owner,owner_Third and above owners,seat_category_more than 5
612,2013,200000,24000,22.74,796.0,47.3,True,True,True,False,False,False
6222,2017,700000,35000,17.5,1373.0,91.1,True,True,True,False,False,True
4761,2017,960000,42000,23.0,1498.0,98.96,False,False,True,False,False,False
7465,2017,550000,15000,25.83,1498.0,99.0,False,True,True,False,False,False
5518,2013,411000,62000,22.0,1197.0,81.8,True,False,True,False,False,False
2851,2006,175000,25000,13.0,1795.0,127.0,True,True,True,False,True,False
7810,2011,200000,200000,17.0,1405.0,71.0,False,True,True,True,False,False
7950,2017,625000,25000,22.0,1197.0,81.8,True,True,True,False,False,False
5694,2008,136000,200185,16.6,1388.0,68.0,True,True,True,False,False,False
1942,2010,200000,110000,17.3,1061.0,64.0,True,True,True,True,False,False
8098,2009,307000,100000,17.8,1248.0,75.0,False,True,True,True,False,False
2163,2012,280000,70000,22.9,1248.0,74.0,False,True,True,True,False,False
5940,2017,755000,20000,28.4,1248.0,74.02,False,True,True,False,False,False
3654,2016,530000,60000,18.49,1493.0,100.0,False,True,True,False,False,True
6463,2015,210000,80000,20.63,1198.0,67.06,True,True,True,False,False,False
2762,2012,180000,80000,22.74,796.0,47.3,True,True,True,False,False,False
5470,2009,142000,110000,20.36,1197.0,78.9,True,True,True,False,False,False
7298,2018,685000,26000,28.4,1248.0,74.0,False,True,True,False,False,False
7381,2016,1300000,91567,16.0,2179.0,140.0,False,True,False,False,True,True
97,2016,565000,72000,19.1,1197.0,82.0,True,False,False,False,False,False
1731,2017,500000,70000,25.8,1498.0,98.6,False,True,True,False,False,False
4810,2011,240000,80000,20.36,1197.0,78.9,True,True,True,False,False,False
1925,2017,660000,82000,18.49,1493.0,100.0,False,True,True,False,False,True
2541,2016,1250000,30000,15.4,2179.0,120.0,False,True,True,False,False,True
710,2009,270000,70000,13.6,2523.0,63.0,False,True,True,True,False,True
73,2011,235000,60000,20.36,1197.0,78.9,True,True,True,True,False,False
993,2006,100000,120000,16.1,1405.0,70.0,False,True,True,False,True,False
3346,2017,270000,31100,22.7,799.0,53.64,True,False,True,False,False,False
6041,2018,650000,10000,18.9,1197.0,81.86,True,True,False,True,False,False
7690,2015,475000,60000,25.2,1248.0,74.0,False,True,True,False,False,False
7177,2016,670000,60000,26.0,1498.0,98.6,False,True,True,False,False,False
1975,2017,550000,10000,18.9,1197.0,81.86,True,True,False,False,False,False
2266,2016,225000,35000,22.74,796.0,47.3,True,True,True,True,False,False
1055,2017,725000,6550,18.2,1199.0,88.7,True,True,False,False,False,False
980,2011,75000,140500,17.88,1396.0,52.8,False,True,True,False,True,False
5773,2007,85000,150000,17.2,1396.0,53.5,False,True,True,True,False,False
7509,2007,245000,121000,18.1,1493.0,110.0,False,True,True,True,False,False
321,2017,400000,26000,23.84,1199.0,84.0,True,True,True,False,False,False
5841,2019,700000,19000,18.6,1197.0,81.86,True,True,True,False,False,False
502,2016,270000,50000,22.74,796.0,47.3,True,True,True,False,False,False
2662,2012,350000,70000,21.5,1248.0,88.8,False,True,True,True,False,False
2979,2017,1110000,186000,19.67,1582.0,126.2,False,True,True,False,False,False
4694,2011,300000,90000,21.1,1248.0,73.9,False,True,True,True,False,False
5306,2018,900000,30000,14.99,1498.0,104.5,True,True,False,False,False,False
4397,2019,1140000,10000,21.5,1497.0,108.5,False,True,False,False,False,False
5704,2015,335000,120000,20.51,998.0,67.04,True,True,True,False,False,False
8029,2014,240000,30000,18.6,1199.0,76.8,True,True,True,False,False,False
404,2016,1290000,50000,16.0,2179.0,140.0,False,True,False,False,False,True
3394,2014,550000,70000,15.96,2523.0,62.1,False,True,True,False,False,True
2492,2014,480000,80000,20.45,1461.0,83.8,False,True,True,False,False,False
5400,2011,1000000,90000,14.94,2143.0,204.0,False,False,False,False,False,False
2154,2017,975000,82000,25.6,1498.0,97.9,False,True,True,False,False,False
7366,2018,775000,21147,21.4,1197.0,83.1,True,False,False,False,False,False
6708,2011,575000,110000,15.1,2179.0,140.0,False,True,True,True,False,True
2200,2017,530000,30000,21.4,1197.0,83.1,True,True,True,True,False,False
3266,2018,780000,35000,22.54,1396.0,88.73,False,True,True,False,False,False
5991,2017,666000,13000,18.6,1197.0,81.83,True,True,True,False,False,False
5314,2015,1200000,10000,15.1,2179.0,140.0,False,True,True,False,False,True
5516,2019,1075000,8600,17.3,1497.0,121.0,False,False,True,False,False,True
1388,2017,600000,5000,20.14,1197.0,81.86,True,True,True,False,False,False
2928,2007,150000,60000,17.92,1086.0,62.1,True,True,True,False,True,False
2128,2018,650000,22000,21.56,1462.0,103.25,True,True,True,True,False,False
8104,2006,160000,70000,16.9,1497.0,100.0,True,True,True,True,False,False
2702,2015,1500000,80000,12.55,2982.0,168.5,False,True,False,True,False,True
6049,2009,125000,141000,19.7,796.0,46.3,True,True,True,True,False,False
7951,2018,1220000,11000,15.8,1591.0,121.3,True,True,True,False,False,False
166,2016,1900000,41000,19.16,2494.0,157.7,True,False,False,False,False,False
6427,2011,290000,110000,21.1,1248.0,73.9,False,True,True,True,False,False
1226,2012,180000,110000,13.87,1390.0,75.0,True,True,True,True,False,False
1021,2008,229999,120000,17.0,1497.0,118.0,True,True,True,True,False,False
1518,2017,500000,35000,28.4,1248.0,74.0,False,True,True,False,False,False
2463,2010,220000,46533,18.9,998.0,67.1,True,False,True,False,False,False
2453,2016,220000,46702,16.8,796.0,34.2,True,False,True,False,False,True
5634,2016,488000,80000,20.85,1197.0,83.14,True,True,True,True,False,False
571,2010,250000,90000,18.8,1248.0,90.0,False,True,True,True,False,False
2179,2013,200000,50000,22.74,796.0,47.3,True,True,True,False,False,False
5718,2013,385000,120000,19.1,1197.0,85.8,True,True,True,False,False,False
7304,2018,319000,30000,24.04,999.0,67.0,True,True,False,False,False,False
6665,2014,310000,35000,20.51,998.0,67.04,True,True,True,True,False,False
845,2011,200000,70000,16.6,1388.0,68.0,True,True,True,True,False,False
5213,2010,140000,60000,18.6,1199.0,79.4,True,True,True,False,False,False
1619,2014,318000,80000,20.51,998.0,67.06,True,True,True,False,False,False
1523,2012,290000,100000,21.9,1396.0,90.0,False,True,True,True,False,False
3872,2014,1100000,79000,20.6,1968.0,141.0,False,True,True,True,False,False
1869,2017,570000,25272,21.01,1197.0,81.8,True,False,True,False,False,False
5521,2016,660000,78010,21.66,1498.0,103.52,False,False,False,False,False,False
6615,2017,270000,50000,25.17,799.0,53.3,True,True,True,False,False,False
2276,2010,130000,120000,19.7,796.0,35.0,True,True,True,False,True,True
5770,2010,160000,200000,19.0,998.0,67.1,True,True,True,False,False,False
5569,2017,740000,40000,28.4,1248.0,74.02,False,True,True,False,False,False
530,2018,801000,20000,18.6,1197.0,81.83,True,True,True,False,False,False
4198,2019,975000,30000,23.0,1498.0,98.96,False,True,True,False,False,False
4174,2013,450000,80000,13.7,2197.0,138.1,False,True,True,True,False,True
7243,2012,375000,70000,19.3,1248.0,73.9,False,True,True,True,False,False
5207,2012,250000,80000,15.3,2956.0,83.8,False,True,True,False,True,True
7628,2017,934000,101000,22.77,1498.0,98.59,False,True,True,False,False,False
4617,2008,500000,179150,11.57,2179.0,138.1,False,True,True,True,False,True
1001,2014,480000,37000,15.96,2523.0,62.1,False,True,True,False,False,True
7494,2015,690000,80000,21.04,1461.0,83.8,False,True,True,False,False,True
4834,2016,380000,80000,24.4,1120.0,71.0,False,True,True,True,False,False
274,2019,300000,40000,19.02,1198.0,67.05,True,True,True,False,False,False
1412,2010,786000,155000,12.8,2494.0,102.0,False,True,True,False,True,True
6935,2006,282000,128000,12.6,1991.0,112.0,False,True,True,False,True,True
7111,2014,459999,70000,23.4,1248.0,74.0,False,True,True,False,True,False
3455,2016,565000,70000,25.2,1248.0,74.0,False,True,True,True,False,False
5402,2017,600000,34000,21.4,1197.0,83.1,True,False,True,True,False,False
1324,2017,330000,90000,15.37,1196.0,73.0,True,True,True,False,False,False
4598,2016,725000,100000,21.38,1396.0,88.7,False,True,True,False,False,False
5056,2004,120000,80000,16.1,796.0,37.0,True,True,True,True,False,False
2788,2017,650000,20000,18.6,1197.0,81.83,True,True,True,False,False,False
2332,2007,135000,57000,19.7,796.0,46.3,True,True,True,False,False,False
61,2011,265000,120000,21.12,1248.0,88.8,False,True,True,False,False,False
1535,2009,150000,150000,11.57,2179.0,138.1,False,True,True,False,True,True
4596,2014,545000,80000,22.32,1582.0,126.32,False,True,True,True,False,False
1888,2013,585000,80000,20.46,1461.0,83.8,False,True,True,True,False,False
8078,2011,114999,100000,18.0,995.0,62.0,True,True,True,True,False,False
7955,2014,530000,90000,22.9,1248.0,74.0,False,True,True,False,False,False
320,2018,1210000,25000,21.38,1396.0,88.7,False,True,True,False,False,False
1339,2010,150000,60000,17.92,1086.0,62.1,True,True,True,False,True,False
5908,2014,470000,60000,19.1,1197.0,85.8,True,True,True,False,False,False
6994,2013,370000,90000,22.9,1248.0,74.0,False,True,True,True,False,False
1372,2019,490000,33928,23.84,1199.0,84.48,True,False,True,False,False,False
5073,2011,165000,70000,18.0,995.0,62.0,True,True,True,False,False,False
4624,2013,360000,97000,22.9,1248.0,74.0,False,True,True,False,False,False
3343,2007,245000,110000,13.6,2523.0,63.0,False,True,True,False,True,True
1754,2011,350000,116500,23.0,1396.0,90.0,False,True,True,False,False,False
5752,2015,1100000,77000,16.0,2179.0,140.0,False,True,False,True,False,True
1280,2018,1030000,25000,25.1,1248.0,88.5,False,True,True,False,False,False
7149,2016,400000,14000,18.15,1198.0,82.0,True,True,True,True,False,True
1374,2009,350000,54290,17.0,1497.0,118.0,True,False,True,False,False,False
2429,2018,390000,25000,23.84,1199.0,84.0,True,True,True,False,False,False
2437,2019,630000,4000,21.21,1197.0,81.8,True,True,True,False,False,False
5166,2007,240000,80000,13.6,2523.0,63.0,False,True,True,True,False,True
1903,2016,660000,55000,26.59,1248.0,74.0,False,True,True,False,False,False
7169,2017,350000,30000,23.01,999.0,67.0,True,True,True,False,False,False
5035,2018,350000,10000,23.95,998.0,67.05,True,True,True,False,False,False
2860,2009,125000,120000,19.2,1461.0,65.0,False,True,True,False,True,False
4210,2011,400000,72000,22.9,1248.0,74.0,False,True,True,False,False,False
1932,2013,450000,41800,18.6,1197.0,85.8,True,True,True,False,False,False
5278,2012,400000,95000,19.7,1598.0,103.6,False,True,True,False,False,False
699,2010,200000,190000,17.8,1248.0,75.0,False,True,True,True,False,False
3452,2015,459999,32000,25.83,1498.0,99.0,False,True,True,True,False,False
3984,2015,550000,60000,22.54,1396.0,88.73,False,True,True,False,False,False
2567,2011,190000,92500,20.92,998.0,67.1,True,True,True,True,False,False
1655,2012,600000,144030,12.8,2354.0,177.6,True,True,True,False,False,False
6765,2014,440000,70000,22.9,1248.0,74.0,False,True,True,True,False,False
7387,2011,130000,180000,20.0,1399.0,68.0,False,True,True,True,False,False
